"SEMAINE","WORLD","Italy","Germany","France","Spain","Netherlands","Saudi Arabia","Brazil","South Africa","Austria","Afghanistan","Belgium","Norway","Portugal","Poland","Australia","Switzerland","Qatar","Malaysia","United Arab Emirates","Argentina","Croatia","Sweden","Kazakhstan","Turkey","Kuwait"
"S 01","260","48","35","59","23","2","10","11","1","5","5","8","4","2","1","2","8","1","0","4","1","0","0","0","0","0"
"S 02","252","43","40","40","21","12","10","9","8","8","7","6","4","3","3","3","3","2","2","2","2","2","2","1","1","1"
"S 03","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 04","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 05","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 06","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 07","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 08","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 09","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 10","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 11","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 12","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 13","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 14","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 15","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 16","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 17","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 18","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 19","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 20","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 21","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 22","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 23","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 24","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 25","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 26","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 27","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 28","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 29","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 30","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 31","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 33","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 34","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 35","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 36","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 37","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 38","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 39","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 40","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 41","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 42","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 43","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 44","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 45","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 46","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 47","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 48","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 49","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 50","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 51","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S 52","","","","","","","","","","","","","","","","","","","","","","","","","",""
